complaint_id,date_received,date_closed,product,issue,sub_issue,company_type,state,complaint_text,resolution,resolution_days,compensation_aud
AFCA-2023-00087,2023-08-12,2023-10-05,Home Loan,Portability,Loan transfer,Bank,QLD,"I am moving interstate and my bank agreed to port my home loan to a new property. After I committed to purchasing the new property the bank withdrew portability approval citing a change in lending criteria. I am now facing two mortgages and significant financial stress.",Resolved - in favour of complainant,54,0.00
AFCA-2023-00088,2023-08-15,2023-09-05,General Insurance,Excess,Multiple excess charges,Insurer,VIC,"My insurer is charging me three separate excesses of $750 each for a single storm event that caused damage to my roof, fence and carport. The damage resulted from the same weather event and I believe only one excess should apply as per the policy terms.",Resolved - in favour of complainant,21,1500.00
AFCA-2023-00089,2023-08-18,2023-10-10,Banking,Foreign exchange,Transfer fee,Bank,SA,"I transferred $15,000 AUD to a family member overseas and was charged a margin on the exchange rate that resulted in the recipient receiving $800 less than expected. The bank's disclosed fee was $25 for the transfer but the exchange rate margin was not transparently disclosed.",Resolved - in favour of complainant,53,800.00
AFCA-2023-00090,2023-08-20,2023-09-10,Life Insurance,Annual review,Premium increase,Insurer,TAS,"My life insurance premium has increased by 85% over 3 years from $1,200 to $2,220 per year despite no change in my circumstances. The insurer attributes the increase to 'portfolio experience' but cannot explain why my individual premium has jumped so significantly.",Resolved - by negotiation,21,0.00
AFCA-2023-00091,2023-08-22,2023-10-15,Credit Card,Buy now pay later,Credit assessment,Non-bank lender,WA,"I accumulated $12,000 across four buy now pay later accounts despite earning only $42,000 per year. None of the providers conducted meaningful credit assessments. I am now struggling to meet repayments on all accounts simultaneously and am in financial hardship.",Resolved - by negotiation,54,0.00
AFCA-2023-00092,2023-08-25,2023-09-15,Home Loan,Offset,Account linking,Bank,VIC,"My new offset account was not linked to my home loan for 3 months due to a bank processing error. During this time my $95,000 in savings was not offsetting my loan and I was overcharged approximately $1,900 in additional interest. The bank is only offering to refund $1,200.",Resolved - in favour of complainant,21,1900.00
AFCA-2023-00093,2023-08-28,2023-10-20,General Insurance,Landlord,Tenant damage,Insurer,NSW,"My landlord insurance claim for $22,000 in tenant damage was denied because the insurer says I did not conduct property inspections every 3 months as required by the policy. I conducted inspections every 4 months which I believe is reasonable. The damage occurred between inspections.",Resolved - by negotiation,53,11000.00
AFCA-2023-00094,2023-09-01,2023-09-22,Personal Loan,Variation,Contract change,Non-bank lender,QLD,"My lender unilaterally changed the terms of my personal loan increasing the administration fee from $10 to $15 per month. The contract states fees may be varied but does not specify the mechanism or limits. I believe unilateral fee increases without negotiation are unfair contract terms.",Resolved - in favour of complainant,21,300.00
AFCA-2023-00095,2023-09-03,2023-10-25,Superannuation,Early release,Compassionate grounds,Super fund,SA,"My application for early release of superannuation on compassionate grounds for medical treatment has been delayed by 8 weeks. My surgery is urgent and I cannot afford to wait. The fund is requesting documentation that I have already provided twice.",Resolved - in favour of complainant,52,0.00
AFCA-2023-00096,2023-09-05,2023-09-26,Credit Card,Interest free,Expiry notification,Bank,VIC,"My 12-month interest-free period on a $5,000 purchase expired and I was retrospectively charged interest on the full purchase amount of $1,100. I was not given adequate notice that the interest-free period was about to expire. One email notification buried in marketing material is insufficient.",Resolved - in favour of complainant,21,1100.00
AFCA-2023-00097,2023-09-08,2023-10-28,Home Loan,Clawback,Broker commission,Mortgage broker,NSW,"My mortgage broker is demanding I pay a $3,500 clawback fee because I refinanced my home loan within 2 years. The broker's agreement mentions a clawback clause but I was told verbally this would not be enforced. The clawback should be between the broker and lender not the consumer.",Resolved - in favour of complainant,50,3500.00
AFCA-2023-00098,2023-09-10,2023-10-01,General Insurance,Cyber,Ransomware claim,Insurer,WA,"My business cyber insurance claim for a ransomware attack causing $45,000 in business losses was denied because the insurer says I did not maintain 'reasonable security measures' as required by the policy. I had antivirus software and regular backups. The insurer has not defined what additional measures were required.",Resolved - in favour of complainant,21,45000.00
AFCA-2023-00099,2023-09-12,2023-11-05,Banking,Trust account,Mismanagement,Bank,TAS,"My solicitor's trust account held at the bank was mismanaged resulting in a shortfall of $35,000 that was used for my property settlement. The bank allowed withdrawals that did not match the trust authorisation requirements. I believe the bank has a duty of care regarding trust accounts.",Resolved - by negotiation,54,35000.00
AFCA-2023-00100,2023-09-15,2023-10-06,Life Insurance,Group insurance,Transfer,Insurer,VIC,"I am leaving my employer and want to transfer my group life insurance to an individual policy. The insurer is requiring me to undergo full medical underwriting despite the policy stating I can transfer without medical evidence within 30 days of leaving. I am within the 30-day window.",Resolved - in favour of complainant,21,0.00
